Genre,n
Drama,85
"Drama, Romance",37
"Comedy, Drama",35
"Comedy, Drama, Romance",31
"Action, Crime, Drama",30
"Biography, Drama, History",28
"Crime, Drama, Thriller",28
"Crime, Drama, Mystery",27
"Crime, Drama",26
"Animation, Adventure, Comedy",24
